Player,Tm,Pos,Status,Injury Comment,Practice Status
Nathan Landman,ATL,LB,Out,Knee,Did Not Participate In Practice
Kaleb McGary,ATL,T,Out,Knee,Did Not Participate In Practice
David Onyemata,ATL,DL,Out,Ankle,Did Not Participate In Practice
Mack Hollins,ATL,WR,Questionable,Ankle,Full Participation In Practice
AJ Terrell,ATL,CB,Questionable,Concussion,Full Participation In Practice
Mike Hughes,ATL,CB,Questionable,Hand,Full Participation In Practice
LaCale London,ATL,DL,Out,Knee,Full Participation In Practice
Drew Dalman,ATL,OL,Questionable,Ankle,Limited Participation In Practice
Jeff Okudah,ATL,CB,Questionable,Ankle,Limited Participation In Practice
Leonard Floyd,BUF,DE,,Wrist,Full Participation In Practice
Von Miller,BUF,LB,,Rest,Full Participation In Practice
Kaiir Elam,BUF,CB,Questionable,Ankle,Full Participation In Practice
Dane Jackson,BUF,CB,,Concussion,Full Participation In Practice
Dawson Knox,BUF,TE,Questionable,Wrist,Full Participation In Practice
Dalton Kincaid,BUF,TE,,Thumb,Full Participation In Practice
Josh Allen,BUF,QB,,Right Shoulder,Full Participation In Practice
Taylor Rapp,BUF,S,,Neck,Full Participation In Practice
DeShawn Williams,CAR,DT,Out,Knee,Did Not Participate In Practice
Adam Thielen,CAR,WR,,NIR - Rest,Did Not Participate In Practice
Vonn Bell,CAR,S,,Shoulder,Full Participation In Practice
Amare Barno,CAR,OLB,,Ankle,Full Participation In Practice
Marquis Haynes,CAR,OLB,Questionable,Back,Full Participation In Practice
Tommy Tremble,CAR,TE,Questionable,Hip,Full Participation In Practice
Taylor Moton,CAR,T,,Knee,Full Participation In Practice
Stephen Sullivan,CAR,TE,Questionable,Shoulder,Full Participation In Practice
Troy Hill,CAR,CB,,Ankle,Limited Participation In Practice
Jeremy Chinn,CAR,S,,Quadriceps,Limited Participation In Practice
Jaycee Horn,CAR,CB,,Hamstring,Limited Participation In Practice
Bradley Bozeman,CAR,OL,Questionable,Ankle,Limited Participation In Practice
Hayden Hurst,CAR,TE,Out,Concussion,Limited Participation In Practice
Yetur Gross-Matos,CAR,OLB,Questionable,Hamstring,Limited Participation In Practice
Equanimeous St. Brown,CHI,WR,Out,Pectoral,Did Not Participate In Practice
Velus Jones Jr.,CHI,WR,Questionable,Illness,Did Not Participate In Practice
Marcedes Lewis,CHI,TE,,Rest,Did Not Participate In Practice
Larry Borom,CHI,OL,,Illness,Full Participation In Practice
Tyrique Stevenson,CHI,DB,,Ankle,Full Participation In Practice
D'Onta Foreman,CHI,RB,,Ankle,Full Participation In Practice
Noah Sewell,CHI,LB,,Knee,Full Participation In Practice
Yannick Ngakoue,CHI,DL,Questionable,Knee,Full Participation In Practice
Tyler Scott,CHI,WR,Questionable,Hamstring,Limited Participation In Practice
D.J. Reader,CIN,DT,Questionable,Back,Did Not Participate In Practice
D'Ante Smith,CIN,T,Questionable,NIR - Personal,Did Not Participate In Practice
Jonah Williams,CIN,T,,Back,Full Participation In Practice
Akeem Davis-Gaither,CIN,LB,,NIR - Rest,Full Participation In Practice
B.J. Hill,CIN,DT,,NIR - Rest,Full Participation In Practice
Chase Brown,CIN,RB,,Hamstring,Full Participation In Practice
Sam Hubbard,CIN,DE,,NIR - Rest,Full Participation In Practice
DJ Turner,CIN,CB,,Hamstring,Full Participation In Practice
Tyler Boyd,CIN,WR,Questionable,Ankle,Limited Participation In Practice
Dawand Jones,CLE,T,Out,Knee,Did Not Participate In Practice
Grant Delpit,CLE,S,,Knee,Did Not Participate In Practice
Dorian Thompson-Robinson,CLE,QB,,Concussion,Full Participation In Practice
Juan Thornhill,CLE,S,,Calf,Full Participation In Practice
Shelby Harris,CLE,DT,,Achilles,Full Participation In Practice
Joel Bitonio,CLE,G,,NIR - Rest,Full Participation In Practice
Cameron Mitchell,CLE,CB,Questionable,Hamstring,Full Participation In Practice
Ogbonnia Okoronkwo,CLE,DE,,Foot,Full Participation In Practice
Nick Harris,CLE,C,,Knee,Full Participation In Practice
Myles Garrett,CLE,DE,,NIR - Rest,Full Participation In Practice
Maurice Hurst Jr.,CLE,DT,,Groin,Full Participation In Practice
Wyatt Teller,CLE,G,,Calf,Full Participation In Practice
Kareem Hunt,CLE,RB,,Groin,Full Participation In Practice
Marquise Goodwin,CLE,WR,,Concussion,Full Participation In Practice
Geron Christian,CLE,T,,Finger,Full Participation In Practice
David Njoku,CLE,TE,,NIR - Rest,Limited Participation In Practice
Denzel Ward,CLE,CB,Questionable,Shoulder,Limited Participation In Practice
Amari Cooper,CLE,WR,Questionable,Concussion,Limited Participation In Practice
DeForest Buckner,IND,DT,,Shoulder,Did Not Participate In Practice
Jonathan Taylor,IND,RB,Out,Thumb,Did Not Participate In Practice
Ameer Speed,IND,CB,Questionable,Hip,Did Not Participate In Practice
Braden Smith,IND,T,Out,Knee,Did Not Participate In Practice
Tyquan Lewis,IND,DE,,Ankle,Full Participation In Practice
Julius Brents,IND,CB,Out,Quad,Limited Participation In Practice
E.J. Speed,IND,LB,Out,Knee,Limited Participation In Practice
Micah Parsons,DAL,LB,,Illness,
Rico Dowdle,DAL,RB,,Ankle,Full Participation In Practice
Peyton Hendershot,DAL,TE,,Ankle,Full Participation In Practice
Matt Waletzko,DAL,T,Out,Shoulder,Full Participation In Practice
Samaje Perine,DEN,RB,Questionable,Knee,Did Not Participate In Practice
Zach Allen,DEN,DE,,Elbow,Full Participation In Practice
Delarrin Turner-Yell,DEN,S,,Back,Full Participation In Practice
Marvin Mims,DEN,WR,,Ribs,Full Participation In Practice
Patrick Surtain II,DEN,CB,,Knee,Full Participation In Practice
Mike Purcell,DEN,DL,,NIR - Rest,Full Participation In Practice
Mike McGlinchey,DEN,T,,Back,Full Participation In Practice
Chris Manhertz,DEN,TE,,NIR - Rest,Full Participation In Practice
Baron Browning,DEN,OLB,,Wrist,Full Participation In Practice
Frank Ragnow,DET,C,Out,Knee/Back,Did Not Participate In Practice
Alex Anzalone,DET,LB,,Hand,Full Participation In Practice
Hendon Hooker,DET,QB,Out,Knee,Full Participation In Practice
Malcolm Rodriguez,DET,LB,Questionable,Ankle,Limited Participation In Practice
Quay Walker,GNB,LB,Doubtful,Shoulder,Did Not Participate In Practice
Christian Watson,GNB,WR,Out,Hamstring,Did Not Participate In Practice
De'Vondre Campbell,GNB,LB,,Neck,Full Participation In Practice
Rashan Gary,GNB,LB,,Shoulder,Full Participation In Practice
Keisean Nixon,GNB,CB,,Wrist,Full Participation In Practice
Josiah Deguara,GNB,TE,,Hip,Full Participation In Practice
Jonathan Owens,GNB,S,,Knee,Full Participation In Practice
Eric Stokes,GNB,CB,Questionable,Hamstring,Full Participation In Practice
AJ Dillon,GNB,RB,,Groin,Full Participation In Practice
Jaire Alexander,GNB,CB,Out,Shoulder,Limited Participation In Practice
Jayden Reed,GNB,WR,,Chest,Limited Participation In Practice
Darnell Savage Jr.,GNB,S,Questionable,Chest,Limited Participation In Practice
Devonte Wyatt,GNB,DL,,Elbow,Limited Participation In Practice
Elgton Jenkins,GNB,OL,,Shoulder,Limited Participation In Practice
Aaron Jones,GNB,RB,Questionable,Knee,Limited Participation In Practice
Dalton Schultz,HOU,TE,Out,Hamstring,Did Not Participate In Practice
Will Anderson,HOU,DE,,Shoulder,Did Not Participate In Practice
Noah Brown,HOU,WR,Questionable,Knee,Did Not Participate In Practice
DeAndre Houston-Carson,HOU,DB,Out,Illness,Full Participation In Practice
Jimmie Ward,HOU,S,,Shoulder,Full Participation In Practice
Neville Hewitt,HOU,LB,,Hamstring,Full Participation In Practice
Denzel Perryman,HOU,LB,,Knee,Full Participation In Practice
George Fant,HOU,T,Questionable,Hip,Full Participation In Practice
Laremy Tunsil,HOU,T,,Knee,Full Participation In Practice
Sheldon Rankins,HOU,DT,Questionable,Elbow,Limited Participation In Practice
Tre Herndon,JAX,CB,Out,Concussion,Did Not Participate In Practice
Brenton Strange,JAX,TE,Out,Foot,Did Not Participate In Practice
Walker Little,JAX,OL,Out,Hamstring,Did Not Participate In Practice
Tyson Campbell,JAX,CB,Out,Quadricep,Limited Participation In Practice
Christian Braswell,JAX,CB,Out,Hamstring,Limited Participation In Practice
Folorunso Fatukasi,JAX,DL,Questionable,Heel,Limited Participation In Practice
D'Ernest Johnson,JAX,RB,Questionable,Knee,Limited Participation In Practice
Trevor Lawrence,JAX,QB,Questionable,Ankle,Limited Participation In Practice
Travis Etienne,JAX,RB,Questionable,Ribs,Limited Participation In Practice
Andre Cisco,JAX,S,,Shoulder,Limited Participation In Practice
Zay Jones,JAX,WR,,Knee,Limited Participation In Practice
C.J. Beathard,JAX,QB,,Shoulder,Limited Participation In Practice
Donovan Smith,KAN,T,Out,Neck,Did Not Participate In Practice
Isiah Pacheco,KAN,RB,Out,Shoulder,Did Not Participate In Practice
Drue Tranquill,KAN,LB,Out,Concussion,Did Not Participate In Practice
L'Jarius Sneed,KAN,CB,,Knee,Full Participation In Practice
Skyy Moore,KAN,WR,,Knee,Full Participation In Practice
Darius Harris,KAN,LB,,Wrist,Full Participation In Practice
Kadarius Toney,KAN,WR,,Hip,Full Participation In Practice
Nick Bolton,KAN,LB,,Wrist,Full Participation In Practice
Jerick McKinnon,KAN,RB,,Groin,Full Participation In Practice
Rashee Rice,KAN,WR,,Foot,Full Participation In Practice
Patrick Mahomes,KAN,QB,,Pectoral,Full Participation In Practice
Robert Hunt,MIA,OL,Out,Hamstring,Did Not Participate In Practice
Kendall Lamm,MIA,T,,Back,Full Participation In Practice
De'Von Achane,MIA,RB,,Ribs,Full Participation In Practice
Robert Jones,MIA,OL,,Knee,Full Participation In Practice
Christian Wilkins,MIA,DT,,Groin,Full Participation In Practice
Alec Ingold,MIA,FB,,Ankle,Full Participation In Practice
Tyreek Hill,MIA,WR,,Ankle,Limited Participation In Practice
Durham Smythe,MIA,TE,,Ankle,Limited Participation In Practice
Jevon Holland,MIA,S,Questionable,Knees,Limited Participation In Practice
Terron Armstead,MIA,T,Questionable,Knee,Limited Participation In Practice
Raheem Mostert,MIA,RB,,Knee,Limited Participation In Practice
Akayleb Evans,MIN,CB,,Calf,Full Participation In Practice
Kene Nwangwu,MIN,RB,,Concussion,Full Participation In Practice
NaJee Thompson,MIN,CB,,Knee,Full Participation In Practice
Theo Jackson,MIN,S,Questionable,Illness,Full Participation In Practice
Justin Jefferson,MIN,WR,,Hamstring,Full Participation In Practice
Khyiris Tonga,MIN,DL,,Knee,Full Participation In Practice
Ed Ingram,MIN,G,Questionable,Hip,Limited Participation In Practice
Taysom Hill,NOR,QB,Questionable,Foot,Did Not Participate In Practice
Chris Olave,NOR,WR,Questionable,Illness,Did Not Participate In Practice
Rashid Shaheed,NOR,WR,Questionable,Thigh,Did Not Participate In Practice
Isaiah Foskey,NOR,DE,Out,Quadricep,Did Not Participate In Practice
Kendre Miller,NOR,RB,Out,Ankle,Did Not Participate In Practice
Erik McCoy,NOR,OL,,Shoulder,Full Participation In Practice
Andrus Peat,NOR,OL,,Shoulder,Full Participation In Practice
Derek Carr,NOR,QB,Questionable,Concussion/Rib,Full Participation In Practice
Nick Saldiveri,NOR,OL,Questionable,Shoulder,Full Participation In Practice
Blake Grupe,NOR,K,Questionable,Right Groin,Full Participation In Practice
Ryan Ramczyk,NOR,T,,Knee,Full Participation In Practice
Juwan Johnson,NOR,TE,Questionable,Quadricep,Limited Participation In Practice
Pete Werner,NOR,LB,Questionable,Shoulder,Limited Participation In Practice
Cameron Jordan,NOR,DE,Questionable,Ankle,Limited Participation In Practice
Demario Douglas,NWE,WR,Out,Concussion,Did Not Participate In Practice
Rhamondre Stevenson,NWE,RB,Out,Ankle,Did Not Participate In Practice
Shaun Wade,NWE,CB,Out,Illness,Limited Participation In Practice
DeVante Parker,NWE,WR,Questionable,Knee,Limited Participation In Practice
Christian Barmore,NWE,DL,Questionable,Shoulder,Limited Participation In Practice
Riley Reiff,NWE,OL,Out,Knee,Limited Participation In Practice
Kayshon Boutte,NWE,WR,Out,Shoulder,Limited Participation In Practice
JuJu Smith-Schuster,NWE,WR,Questionable,Ankle,Limited Participation In Practice
Trent Brown,NWE,OL,Questionable,Ankle,Limited Participation In Practice
Parris Campbell,NYG,WR,Questionable,Knee,Did Not Participate In Practice
Daniel Bellinger,NYG,TE,Questionable,Illness,Did Not Participate In Practice
Evan Neal,NYG,T,Out,Ankle,Did Not Participate In Practice
Carter Coughlin,NYG,LB,,Hip,Full Participation In Practice
Tyrod Taylor,NYG,QB,,Ribs,Full Participation In Practice
Isaiah Simmons,NYG,S,Questionable,Ankle,Limited Participation In Practice
